Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Ireland,0.1,0.2,0.4,0.2,0.6,0.3,0.4,0.5,0.4,0.3,0.4,0.5,0.7,0.4,0.8,1,0.4,0.9,0.8,0.9,0.8,1.7,0.7,0.9,0.7,0.8,0.9,1.1,0.9,0.6,0.7,0.7,0.8,0.7,0.7,0.8,1,0.9,1.1,1,0.9,1,1,0.8,0.6,0.9,0.9,1,0.9,1,0.8,0.6,0.8,0.6,NA,NA
Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.9,1.8,1.8,2,2,2.4,2,2.1,1.7,2.6,2,1.5,1.5,2.9,2.1,1.5,1.3,2.5,2.4,1.5,1.1,0.5,0.5,2.3,3,5.9,8.3,5.2,3.7,3.3,3.4,2.2,2.1,2.1,2.2,2.3,1.8,1.8,1.7,NA
Italy,1.4,1.2,1,1,0.9,0.9,0.8,0.9,0.9,0.9,0.9,1,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.9,1.9,2.1,2,1.7,1.5,1.3,1.6,1.8,2.2,2.6,2.7,2.2,1.7,1.5,1.4,1.4,1.2,1.2,1.2,1,0.9,0.9,1.1,NA,NA,0.9,0.9,0.8,0.8,0.7,0.7,0.8,NA,NA,NA
Japan,1.8,1.6,1.5,1.5,1.5,1.4,1.4,1.3,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.1,1,1,1,0.9,1,1,0.9,0.9,0.8,0.8,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,NA
Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1.2,1.1,1.5,1.6,1.6,1.3,1.7,1.7,1.8,1.9,2.1,2.2,1.7,1.8,1.7,1.7,1.8,1.9,1.8,1.6,1.5,1.4,1.4,1.2,1.1,1.1,1.1,NA,NA
Luxembourg,NA,NA,NA,NA,NA,NA,NA,0.3,1.5,0.5,0.6,1.5,0.6,0.6,0.6,0.5,0.6,1.4,1.3,1.6,1.9,1.1,2.4,1.7,2.1,1.6,2.2,1.6,1.3,3,3,2.2,1.9,0.2,1.3,0.7,1.1,0.7,0.7,0.9,1.1,1.9,1.8,0.9,0.5,1.5,1.4,1.2,1.1,0.9,2.1,0.4,0.2,0.2,0.6,NA
Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,24.8,22.5,20.9,18.3,NA,NA,NA,NA,NA,NA,NA,29.1,30,30.2,NA,29,29.1,28.2,26.7,26.6,24.4,23.8,26,24.7,24.2,22.8,19.2,17.6,17.5,15.4,13.1,12,11.8,11.7,10.4,11,11.3,8.8,14,18.4,23.4,25.3,23.4,20.3,17.9,NA
Netherlands,0.3,0.4,0.2,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.7,0.9,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,0.9,0.9,1,0.8,1.1,1.2,1.2,1.1,1.2,1.3,1.3,1.1,1.2,1.1,1.2,1.2,1.2,1.2,1.1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.6
New Zealand,0.9,1.1,0.8,0.6,1.1,1,0.7,1.4,0.7,1,1.1,1,1,0.8,1.5,1.2,1,1.6,1.8,1.6,1.3,1.3,1.3,1.5,1.2,2,2.1,1.9,1.6,2.1,2.3,1.9,2.3,1.4,1.9,1.2,1.8,1.8,1.5,1.3,1.4,1.4,1.8,1.4,1.1,1.7,1.5,1.3,1.3,1.9,1.2,1.2,1.3,NA,NA,NA
Norway,0.4,0.5,0.4,0.7,0.5,0.5,0.5,0.4,0.6,0.8,0.7,0.6,0.8,0.8,0.7,0.7,0.7,0.9,0.8,1,1.2,1.4,1.1,1.3,1.1,0.9,1.6,1.5,1.2,1.4,1.2,1.6,1,1,0.8,1,1,0.9,1,0.9,1.2,0.7,0.9,1,0.9,0.7,1,0.7,0.6,0.6,0.7,2.3,0.6,1,0.6,NA
